period_id,period_name,period_date,category_id,category_code,category_desc,category_indent,datatype_id,datatype_code,datatype_desc,datatype_unit,error_type_id,error_type_code,error_type_desc,error_type_unit,geo_id,geo_code,geo_desc,is_adjusted,value
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,3.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,12.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,7.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,5.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,6.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,3.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,14.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,7.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,5.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,5,WE,West,0,7.0
564,Dec2005,2005-12-15,5,STARTS,Housing Units Started,0,,,,,3,E_MULTI,Relative Standard Error for Units in Buildings with 5 Units or More,PCT,1,US,United States,0,11.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,3.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,13.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,7.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,5.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,6.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,3.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,15.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,7.0
565,Jan2006,2006-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,5.0
