DATE,MDOTP1T4FR
2016-01-01,10066643.83
2016-04-01,10130861.93
2016-07-01,10215504.31
2016-10-01,10273263.07
2017-01-01,10330880.12
2017-04-01,10408089.86
2017-07-01,10500343.09
2017-10-01,10584209.43
2018-01-01,10627858.51
2018-04-01,10715861.31
2018-07-01,10816591.6
2018-10-01,10878372.21
2019-01-01,10904998.85
